Compagnie,Année,Mois,Moyenne_Retard,Nombre_Vols_En_Retard,Nombre_Total_Vols
247 Aviation,2024,11,139.0,1,1
2Excel Aviation,2024,2,0.0,0,6
Acass Ireland,2024,10,44.0,2,2
Aegean Airlines,2024,4,4.753846153846154,17,65
Aegean Airlines,2024,5,4.984962406015038,39,133
Aegean Airlines,2024,6,11.319672131147541,49,122
Aegean Airlines,2024,7,11.560747663551401,58,107
Aegean Airlines,2024,8,10.085714285714285,53,105
Aegean Airlines,2024,9,7.871559633027523,42,109
Aegean Airlines,2024,10,5.08,27,100
Aegean Airlines,2024,11,4.666666666666667,6,12
Aegean Airlines,2024,12,7.375,2,8
Aer Lingus,2024,5,3.7037037037037037,15,54
Aer Lingus,2024,6,5.3076923076923075,13,52
Aer Lingus,2024,7,5.5576923076923075,19,52
Aer Lingus,2024,8,1.8333333333333333,7,54
Aer Lingus,2024,9,4.056603773584905,10,53
Aero4M,2024,5,35.0,1,1
Aero4M,2024,8,0.0,0,1
Aeromexico,2024,2,4.584,75,250
Aeromexico,2024,3,5.516556291390729,97,302
Aeromexico,2024,4,7.536679536679537,104,259
Aeromexico,2024,5,8.22923588039867,126,301
Aeromexico,2024,6,12.648208469055374,157,307
Aeromexico,2024,7,13.815094339622641,139,265
Aeromexico,2024,8,9.386100386100386,133,259
Aeromexico,2024,9,7.0777777777777775,110,270
Aeromexico,2024,10,7.731182795698925,109,279
Aeromexico,2024,11,6.563318777292577,64,229
Aeromexico,2024,12,8.627659574468085,104,282
Aeroways,2024,12,0.0,0,2
Air Baltic,2024,2,3.75,2,4
Air Baltic,2024,3,8.75,6,8
Air Baltic,2024,4,6.5625,9,16
Air Baltic,2024,5,13.05,28,40
Air Baltic,2024,6,23.56,19,25
Air Baltic,2024,7,21.807692307692307,15,26
Air Baltic,2024,8,14.5,23,30
Air Baltic,2024,9,13.833333333333334,23,36
Air Baltic,2024,10,11.066666666666666,19,30
Air Cairo,2024,2,5.4,1,5
Air Cairo,2024,3,34.0,7,10
Air Cairo,2024,4,25.375,5,8
Air Cairo,2024,5,12.0,5,8
Air Cairo,2024,6,2.5,1,4
Air Charter Scotland,2024,6,26.0,1,1
Air Charters Europe,2024,5,0.0,0,2
Air Charters Europe,2024,6,15.0,4,4
Air Charters Europe,2024,8,7.333333333333333,1,3
Air Charters Europe,2024,9,8.6,2,5
Air Charters Europe,2024,11,7.25,2,4
Air Corsica,2024,2,4.950819672131147,27,61
Air Corsica,2024,3,3.0405405405405403,23,74
Air Corsica,2024,4,2.38,21,50
Air Corsica,2024,5,3.8461538461538463,24,52
Air Corsica,2024,6,4.303030303030303,21,66
Air Corsica,2024,7,7.1875,22,32
Air Corsica,2024,8,0.0625,1,16
Air Corsica,2024,9,1.2058823529411764,4,68
Air Corsica,2024,10,0.6333333333333333,4,60
Air Corsica,2024,11,1.564516129032258,6,62
Air Corsica,2024,12,2.125,4,48
Air Dolomiti,2024,12,10.5,4,4
Air Explore,2024,3,18.0,2,2
Air France,2024,2,4.464814814814815,165,540
Air France,2024,3,4.919931856899489,187,587
Air France,2024,4,6.3259668508287294,205,543
Air France,2024,5,7.18018018018018,213,555
Air France,2024,6,9.409090909090908,270,594
Air France,2024,7,10.131481481481481,240,540
Air France,2024,8,7.956521739130435,206,460
Air France,2024,9,7.467741935483871,218,558
Air France,2024,10,7.323024054982818,231,582
Air France,2024,11,6.224528301886792,161,530
Air France,2024,12,8.09330985915493,221,568
Air Mauritius,2024,2,4.5978260869565215,58,184
Air Mauritius,2024,3,6.613636363636363,82,220
Air Mauritius,2024,4,6.146496815286624,63,157
Air Mauritius,2024,5,6.56353591160221,75,181
Air Mauritius,2024,6,11.472826086956522,95,184
Air Mauritius,2024,7,13.300613496932515,82,163
Air Mauritius,2024,8,8.129032258064516,73,155
Air Mauritius,2024,9,5.512658227848101,57,158
Air Mauritius,2024,10,7.2601156069364166,65,173
Air Mauritius,2024,11,8.070175438596491,58,171
Air Mauritius,2024,12,9.575129533678757,81,193
Air Montenegro,2024,4,0.0,0,2
Air Montenegro,2024,5,0.625,3,16
Air Montenegro,2024,6,3.4545454545454546,1,22
Air Montenegro,2024,7,0.0,0,3
Air Montenegro,2024,8,41.55555555555556,4,9
Air Montenegro,2024,9,5.916666666666667,3,12
Air Montenegro,2024,10,6.375,3,8
Air Peace,2024,7,0.0,0,1
Air Serbia,2024,2,3.7419354838709675,33,124
Air Serbia,2024,3,7.576158940397351,56,151
Air Serbia,2024,4,6.59375,25,64
Air Serbia,2024,5,7.1891891891891895,33,74
Air Serbia,2024,6,12.45945945945946,37,74
Air Serbia,2024,7,19.0,35,63
Air Serbia,2024,8,13.82258064516129,38,62
Air Serbia,2024,9,7.323529411764706,30,68
Air Serbia,2024,10,6.632352941176471,25,68
Air Serbia,2024,11,5.296875,18,64
Air Serbia,2024,12,8.310344827586206,31,87
Air Transat,2024,5,4.533333333333333,11,30
Air Transat,2024,6,9.526315789473685,11,38
Air Transat,2024,7,4.826086956521739,10,46
Air Transat,2024,8,6.266666666666667,17,45
Air Transat,2024,9,6.928571428571429,12,42
Air Transat,2024,10,2.72972972972973,8,37
Air Transat,2024,11,7.875,4,8
Air Transat,2024,12,18.142857142857142,10,14
Airlec Air Espace,2024,3,15.0,2,4
Airlec Air Espace,2024,6,0.0,0,3
Airlec Air Espace,2024,7,0.0,0,2
Airlec Air Espace,2024,8,0.0,0,4
Airlec Air Espace,2024,9,23.5,1,2
Airlec Air Espace,2024,11,0.5,1,2
Ais Airlines,2024,6,0.0,0,2
Albastar,2024,4,6.0,1,2
Albastar,2024,8,0.0,0,2
Albastar,2024,12,12.0,1,1
Aliserio,2024,5,0.0,0,2
Aliserio,2024,7,27.0,2,2
Aliserio,2024,11,0.0,0,1
Alitalia,2024,2,4.584,75,250
Alitalia,2024,3,5.5855263157894735,98,304
Alitalia,2024,4,7.533596837944664,101,253
Alitalia,2024,5,8.181506849315069,120,292
Alitalia,2024,6,11.98993288590604,150,298
Alitalia,2024,7,13.147286821705427,134,258
Alitalia,2024,8,8.971887550200803,125,249
Alitalia,2024,9,7.0534351145038165,104,262
Alitalia,2024,10,7.847328244274809,101,262
Alitalia,2024,11,7.731843575418995,59,179
Alitalia,2024,12,8.899122807017545,88,228
Amelia,2024,2,24.25,3,4
Amelia,2024,3,18.5,4,6
Amelia,2024,8,0.0,0,1
Amelia,2024,9,9.5,2,4
Amelia,2024,10,12.0,2,6
Amelia,2024,11,16.0,1,1
American Airlines,2024,2,10.39655172413793,23,58
American Airlines,2024,3,5.639344262295082,21,61
American Airlines,2024,4,2.5535714285714284,23,56
American Airlines,2024,5,3.288135593220339,21,59
American Airlines,2024,6,4.036363636363636,21,55
American Airlines,2024,7,6.482758620689655,20,58
American Airlines,2024,8,7.068965517241379,20,58
American Airlines,2024,9,6.363636363636363,18,55
American Airlines,2024,10,9.383333333333333,23,60
American Airlines,2024,11,1.4880952380952381,9,84
American Airlines,2024,12,4.655913978494624,36,93
Animawings,2024,4,0.0,0,2
Animawings,2024,5,4.4375,3,16
Animawings,2024,6,8.5,10,16
Animawings,2024,7,6.0,9,18
Animawings,2024,8,3.0,7,18
Animawings,2024,9,9.0,8,17
Animawings,2024,10,5.285714285714286,2,7
Asl Airlines France,2024,12,0.0,0,2
Asl Airlines Ireland,2024,3,8.285714285714286,6,14
Asl Airlines Ireland,2024,5,7.916666666666667,3,12
Asl Airlines Ireland,2024,6,14.666666666666666,6,6
Asl Airlines Ireland,2024,7,21.75,3,4
Asl Airlines Ireland,2024,8,31.25,3,4
Asl Airlines Ireland,2024,9,8.0,3,4
Asl Airlines Ireland,2024,10,0.0,0,4
Asl Airlines Ireland,2024,11,8.0,3,6
Asl Airlines Ireland,2024,12,0.0,0,2
B.J. Aviation,2024,4,19.0,1,2
B.J. Aviation,2024,5,14.0,1,3
B.J. Aviation,2024,6,0.0,0,4
B.J. Aviation,2024,9,24.0,2,2
Belgian Air Component,2024,4,14.0,1,1
Belgian Air Component,2024,7,0.0,0,1
Belgian Air Component,2024,8,14.0,2,3
Bioflight,2024,4,3.0,1,2
Blue Bird Airways,2024,4,0.0,0,2
Blue Bird Airways,2024,5,5.111111111111111,4,9
China Eastern Airlines,2024,2,5.0344827586206895,16,58
China Eastern Airlines,2024,3,3.515151515151515,12,66
China Eastern Airlines,2024,4,7.172727272727273,46,110
China Eastern Airlines,2024,5,7.6581196581196584,56,117
China Eastern Airlines,2024,6,12.894736842105264,63,114
China Eastern Airlines,2024,7,14.08130081300813,67,123
China Eastern Airlines,2024,8,10.0,70,124
China Eastern Airlines,2024,9,8.169642857142858,49,112
China Eastern Airlines,2024,10,8.327102803738319,44,107
China Eastern Airlines,2024,11,8.189655172413794,41,116
China Eastern Airlines,2024,12,9.858333333333333,52,120
Cityjet,2024,3,8.0,2,2
Cityjet,2024,4,12.581818181818182,41,55
Cityjet,2024,5,9.984126984126984,38,63
Cityjet,2024,6,15.133333333333333,37,60
Cityjet,2024,7,14.964912280701755,30,57
Cityjet,2024,8,8.258064516129032,29,62
Cityjet,2024,9,6.724137931034483,31,58
Cityjet,2024,10,7.285714285714286,21,56
Cityjet,2024,11,11.909090909090908,10,22
Cityjet,2024,12,5.75,12,20
Comlux,2024,7,17.0,1,2
Corsair,2024,2,11.944444444444445,7,18
Corsair,2024,3,5.117647058823529,8,17
Corsair,2024,4,9.277777777777779,9,18
Corsair,2024,5,11.0,2,4
Corsair,2024,12,11.8,5,10
Cyprus Airways,2024,4,0.0,0,2
Cyprus Airways,2024,5,0.0,0,2
Das Private Jets,2024,6,2.6666666666666665,2,6
Delta Air Lines,2024,2,4.639455782312925,86,294
Delta Air Lines,2024,3,5.221590909090909,114,352
Delta Air Lines,2024,4,6.2926829268292686,114,287
Delta Air Lines,2024,5,6.901234567901234,123,324
Delta Air Lines,2024,6,9.174041297935103,149,339
Delta Air Lines,2024,7,7.972413793103448,125,290
Delta Air Lines,2024,8,6.0964285714285715,116,280
Delta Air Lines,2024,9,6.535714285714286,116,308
Delta Air Lines,2024,10,7.738317757009346,124,321
Delta Air Lines,2024,11,7.66044776119403,96,268
Delta Air Lines,2024,12,7.463949843260188,120,319
Dhl Air,2024,2,7.25,2,4
Dhl Air,2024,3,7.333333333333333,1,3
Dhl Air,2024,5,35.0,1,1
Dhl Air,2024,8,8.0,1,2
Dragonfly Executive,2024,5,6.0,1,2
Dragonfly Executive,2024,6,27.5,2,2
Easyjet,2024,2,4.011124845488257,158,809
Easyjet,2024,3,4.6416015625,248,1024
Easyjet,2024,4,6.219354838709678,374,1085
Easyjet,2024,5,8.174137931034483,451,1160
Easyjet,2024,6,8.472577696526509,416,1094
Easyjet,2024,7,7.912611717974181,376,1007
Easyjet,2024,8,7.732581967213115,370,976
Easyjet,2024,9,8.630198915009041,409,1106
Easyjet,2024,10,9.092738407699038,426,1143
Easyjet,2024,11,5.101969872537659,212,863
Easyjet,2024,12,6.487279843444227,303,1022
Electra Airways,2024,4,0.0,0,2
Electra Airways,2024,5,0.0,0,4
Electra Airways,2024,6,5.777777777777778,2,18
Electra Airways,2024,7,3.611111111111111,5,18
Electra Airways,2024,8,2.4285714285714284,2,14
Electra Airways,2024,9,3.5,3,12
Enac Ecole Aviation Civile,2024,3,55.0,1,2
Enac Ecole Aviation Civile,2024,4,0.0,0,2
Enac Ecole Aviation Civile,2024,5,0.0,0,2
Enac Ecole Aviation Civile,2024,7,0.0,0,2
Enac Ecole Aviation Civile,2024,9,45.5,1,2
Enac Ecole Aviation Civile,2024,10,0.0,0,4
Enac Ecole Aviation Civile,2024,11,5.5,1,2
Enter Air,2024,2,25.0,2,2
Enter Air,2024,3,6.5,1,2
Enter Air,2024,5,1.5,1,2
Enter Air,2024,6,0.0,0,1
Enter Air,2024,8,0.0,0,1
Enter Air,2024,10,0.0,0,1
European Flight Service,2024,11,21.666666666666668,1,3
Finnair,2024,2,4.01025641025641,54,195
Finnair,2024,3,6.041666666666667,85,240
Finnair,2024,4,6.787037037037037,80,216
Finnair,2024,5,7.24,96,250
Finnair,2024,6,10.968379446640316,119,253
Finnair,2024,7,13.246696035242291,111,227
Finnair,2024,8,8.738532110091743,100,218
Finnair,2024,9,5.945945945945946,78,222
Finnair,2024,10,7.271929824561403,83,228
Finnair,2024,11,5.635838150289017,48,173
Finnair,2024,12,8.604545454545455,82,220
Flexflight,2024,4,0.0,0,8
Flexflight,2024,5,0.0,0,16
Flexflight,2024,6,0.0,0,16
Flexflight,2024,7,0.0,0,18
Flexflight,2024,8,0.0,0,18
Flexflight,2024,9,0.0,0,8
Flexflight,2024,10,0.0,0,12
Fly2Sky,2024,12,22.0,1,2
Flywales,2024,7,23.0,1,1
France - 	Police Aux Frontiers,2024,9,0.0,0,2
France - 	Police Aux Frontiers,2024,11,2.5,1,2
France - 	Police Aux Frontiers,2024,12,13.0,2,2
France - Air Force,2024,2,24.25,1,4
France - Air Force,2024,3,0.0,0,7
France - Air Force,2024,4,7.0,1,2
France - Air Force,2024,5,9.0,1,6
France - Air Force,2024,7,8.285714285714286,1,7
France - Air Force,2024,9,0.0,0,6
France - Air Force,2024,10,1.9,1,10
France - Air Force,2024,11,0.0,0,2
France - Air Force,2024,12,0.0,0,3
France - Air Forces Command,2024,2,0.0,0,2
France - Air Forces Command,2024,3,0.0,0,1
France - Air Forces Command,2024,5,0.0,0,1
France - Air Forces Command,2024,6,0.0,0,1
France - Army,2024,2,0.0,0,1
France - Army,2024,5,0.0,0,1
France - Army,2024,10,0.0,0,1
France - Navy,2024,5,0.0,0,1
Frost,2024,7,0.0,0,3
Frost,2024,8,14.11111111111111,5,9
Germany - Air Force,2024,2,0.0,0,1
Germany - Air Force,2024,7,45.0,1,2
Germany - Air Force,2024,8,0.0,0,3
Germany - Air Force,2024,12,36.5,1,2
Getjet Airlines,2024,3,43.333333333333336,1,3
Gol,2024,2,6.752,45,125
Gol,2024,3,6.863309352517986,48,139
Gol,2024,4,8.012195121951219,40,82
Gol,2024,5,9.132530120481928,39,83
Gol,2024,6,15.963855421686747,51,83
Gol,2024,7,11.10752688172043,53,93
Gol,2024,8,6.559139784946237,44,93
Gol,2024,9,9.18421052631579,32,76
Gol,2024,10,9.264367816091953,40,87
Gol,2024,11,8.300751879699249,40,133
Gol,2024,12,10.721428571428572,57,140
Harmony Jets,2024,11,0.0,0,3
Heli Air Services,2024,3,21.5,2,2
Helvetic Airways,2024,2,2.0,1,2
Helvetic Airways,2024,3,2.0,1,2
Helvetic Airways,2024,4,2.1666666666666665,1,6
Helvetic Airways,2024,5,7.6,5,10
Helvetic Airways,2024,6,4.166666666666667,4,18
