Compagnie,Ann√©e,Mois,Moyenne_Retard,Nombre_Vols_En_Retard,Nombre_Total_Vols
Helvetic Airways,2024,7,8.227272727272727,16,22
Helvetic Airways,2024,8,9.833333333333334,10,24
Helvetic Airways,2024,9,2.0,6,14
Helvetic Airways,2024,10,10.142857142857142,6,14
Hi Fly,2024,7,46.5,1,4
Hungary - Air Force,2024,6,0.0,0,1
Iberia,2024,2,4.265402843601896,45,211
Iberia,2024,3,3.0595744680851062,51,235
Iberia,2024,4,2.3171641791044775,50,268
Iberia,2024,5,2.527972027972028,62,286
Iberia,2024,6,3.3201581027667983,58,253
Iberia,2024,7,2.89010989010989,49,273
Iberia,2024,8,3.672727272727273,56,275
Iberia,2024,9,4.830645161290323,57,248
Iberia,2024,10,4.7701149425287355,65,261
Iberia,2024,11,1.7123893805309736,35,226
Iberia,2024,12,2.9710743801652892,65,242
Jet Executive,2024,4,0.0,0,2
Jetnetherlands,2024,4,0.6666666666666666,1,3
Jetstream,2024,9,4.5,1,2
Jetstream,2024,10,7.75,2,4
Kenya Airways,2024,2,5.648148148148148,17,54
Kenya Airways,2024,3,4.896551724137931,17,58
Kenya Airways,2024,4,6.634615384615385,22,52
Kenya Airways,2024,5,7.617021276595745,24,47
Kenya Airways,2024,6,10.142857142857142,27,49
Kenya Airways,2024,7,7.611111111111111,13,36
Kenya Airways,2024,8,1.7419354838709677,7,31
Kenya Airways,2024,9,1.6285714285714286,9,35
Kenya Airways,2024,10,10.23076923076923,21,39
Kenya Airways,2024,11,1.8235294117647058,3,17
Kenya Airways,2024,12,7.571428571428571,8,14
Klasjet,2024,2,2.0,1,2
Klm,2024,2,4.908071748878924,145,446
Klm,2024,3,5.8538461538461535,188,520
Klm,2024,4,7.3818615751789975,172,419
Klm,2024,5,7.626865671641791,179,469
Klm,2024,6,10.366666666666667,224,480
Klm,2024,7,10.790067720090294,211,443
Klm,2024,8,8.10344827586207,201,435
Klm,2024,9,8.325991189427313,194,454
Klm,2024,10,8.171247357293868,199,473
Klm,2024,11,7.053789731051345,139,409
Klm,2024,12,8.535031847133759,189,471
Latam Airlines,2024,2,12.323529411764707,13,34
Latam Airlines,2024,3,4.871794871794871,11,39
Latam Airlines,2024,4,1.819277108433735,19,83
Latam Airlines,2024,5,4.376344086021505,29,93
Latam Airlines,2024,6,4.434210526315789,22,76
Latam Airlines,2024,7,5.68,28,100
Latam Airlines,2024,8,6.40625,31,96
Latam Airlines,2024,9,6.493150684931507,21,73
Latam Airlines,2024,10,10.12,29,75
Latam Airlines,2024,11,2.2337662337662336,12,77
Latam Airlines,2024,12,3.0632911392405062,20,79
Leav Aviation,2024,7,0.0,0,1
Life Line Aviation,2024,7,13.0,1,2
Lot - Polish Airlines,2024,2,2.125,5,16
Lot - Polish Airlines,2024,3,4.833333333333333,10,18
Lot - Polish Airlines,2024,4,5.1923076923076925,12,26
Lot - Polish Airlines,2024,5,4.461538461538462,10,26
Lot - Polish Airlines,2024,6,4.653846153846154,8,26
Lot - Polish Airlines,2024,7,6.961538461538462,16,26
Lot - Polish Airlines,2024,8,8.678571428571429,12,28
Lot - Polish Airlines,2024,9,2.0416666666666665,8,24
Lot - Polish Airlines,2024,10,8.583333333333334,9,24
Lufthansa,2024,2,3.9791666666666665,15,48
Lufthansa,2024,3,3.7058823529411766,15,51
Lufthansa,2024,4,11.4,1,5
Lufthansa,2024,6,0.0,0,1
Lufthansa,2024,7,24.4,3,5
Lufthansa,2024,9,3.0,1,2
Lufthansa,2024,10,0.0,0,10
Lufthansa,2024,11,2.8653846153846154,8,52
Lufthansa,2024,12,2.0638297872340425,8,47
Malta Air,2024,5,9.071428571428571,15,28
Malta Air,2024,6,5.833333333333333,1,6
Malta Air,2024,8,2.85,5,20
Malta Air,2024,9,3.1666666666666665,3,6
Malta Air,2024,10,6.166666666666667,2,6
Malta Medair,2024,10,12.0,1,2
Mhs Aviation,2024,6,0.0,0,2
Mistral Air,2024,6,11.0,2,2
Nile Air,2024,2,15.5,3,4
Nile Air,2024,3,7.923076923076923,6,13
Nile Air,2024,4,4.555555555555555,4,9
Nile Air,2024,5,7.909090909090909,5,11
Nile Air,2024,10,0.0,0,1
Nile Air,2024,11,10.666666666666666,1,3
North Flying,2024,2,0.0,0,2
North Flying,2024,5,12.0,1,1
North Flying,2024,9,6.5,1,2
North Flying,2024,10,1.3333333333333333,1,3
North Flying,2024,11,1.0,1,3
Nouvelair Tunisie,2024,2,5.3125,6,16
Nouvelair Tunisie,2024,3,3.8,7,20
Nouvelair Tunisie,2024,4,3.075,8,40
Nouvelair Tunisie,2024,5,6.2,18,35
Nouvelair Tunisie,2024,6,4.730769230769231,6,26
Nouvelair Tunisie,2024,7,1.36,3,25
Nouvelair Tunisie,2024,8,8.705882352941176,8,34
Nouvelair Tunisie,2024,9,5.535714285714286,11,28
Nouvelair Tunisie,2024,10,10.176470588235293,19,51
Nouvelair Tunisie,2024,11,6.708333333333333,5,24
Nouvelair Tunisie,2024,12,10.81578947368421,12,38
Nyxair,2024,3,0.6,2,5
Oyonnair,2024,2,9.285714285714286,5,7
Oyonnair,2024,3,16.565217391304348,16,23
Oyonnair,2024,4,7.5,2,4
Oyonnair,2024,5,18.214285714285715,11,14
Oyonnair,2024,6,25.333333333333332,8,12
Oyonnair,2024,7,7.909090909090909,5,11
Oyonnair,2024,8,14.133333333333333,6,15
Oyonnair,2024,9,10.714285714285714,4,7
Oyonnair,2024,10,10.375,6,8
Oyonnair,2024,11,30.933333333333334,11,15
Oyonnair,2024,12,4.75,2,4
Pan Europeenne,2024,4,1.0,1,2
Pan Europeenne,2024,6,6.75,2,4
Pan Europeenne,2024,9,2.0,1,2
Pan Europeenne Air Service,2024,3,0.0,0,2
Pan Europeenne Air Service,2024,7,5.5,2,2
Platoon Aviation,2024,4,4.0,2,2
Platoon Aviation,2024,7,23.5,2,2
Porter Airlines,2024,5,4.533333333333333,11,30
Porter Airlines,2024,6,9.526315789473685,11,38
Porter Airlines,2024,7,4.826086956521739,10,46
Porter Airlines,2024,8,6.266666666666667,17,45
Porter Airlines,2024,9,6.928571428571429,12,42
Porter Airlines,2024,10,2.8055555555555554,8,36
Porter Airlines,2024,11,7.875,4,8
Porter Airlines,2024,12,18.142857142857142,10,14
Private Owner,2024,9,0.0,0,2
Proair Aviation,2024,7,0.0,0,2
Qatar Airways,2024,2,3.881818181818182,41,220
Qatar Airways,2024,3,2.7237354085603114,47,257
Qatar Airways,2024,4,1.453781512605042,34,238
Qatar Airways,2024,5,2.5836575875486383,55,257
Qatar Airways,2024,6,2.9322033898305087,48,236
Qatar Airways,2024,7,2.795847750865052,46,289
Qatar Airways,2024,8,2.923344947735192,54,287
Qatar Airways,2024,9,4.46606334841629,48,221
Qatar Airways,2024,10,4.48068669527897,51,233
Qatar Airways,2024,11,1.7123893805309736,35,226
Qatar Airways,2024,12,3.072649572649573,65,234
Quick Air Jet Charter,2024,3,62.0,2,2
Royal Air Maroc,2024,2,11.526315789473685,23,38
Royal Air Maroc,2024,3,3.5789473684210527,17,38
Royal Air Maroc,2024,4,9.229166666666666,22,48
Royal Air Maroc,2024,5,5.543478260869565,16,46
Royal Air Maroc,2024,6,8.12,22,50
Royal Air Maroc,2024,7,7.030769230769231,22,65
Royal Air Maroc,2024,8,9.419354838709678,32,62
Royal Air Maroc,2024,9,7.72,25,50
Royal Air Maroc,2024,10,6.552631578947368,14,38
Royal Air Maroc,2024,11,9.511111111111111,14,45
Royal Air Maroc,2024,12,10.74074074074074,25,54
Ryanair,2024,2,2.34,34,250
Ryanair,2024,3,2.878698224852071,57,338
Ryanair,2024,4,4.843058350100604,146,497
Ryanair,2024,5,5.368312757201646,146,486
Ryanair,2024,6,7.748466257668712,162,489
Ryanair,2024,7,7.695736434108527,183,516
Ryanair,2024,8,6.4652509652509655,162,518
Ryanair,2024,9,6.273662551440329,148,486
Ryanair,2024,10,7.983539094650205,186,486
Ryanair,2024,11,6.191666666666666,102,360
Ryanair,2024,12,6.820779220779221,124,385
Sas,2024,4,0.0,0,2
Sas,2024,10,2.0,1,1
Scoot,2024,9,0.0,0,2
Silver Air,2024,6,0.0,0,1
Silver Cloud Air,2024,7,7.0,1,2
Sky Angkor,2024,9,10.5,2,2
Sky Angkor,2024,10,5.5,3,10
Sky Angkor,2024,11,16.8,4,10
Sky Angkor,2024,12,33.0,2,4
Sky Express,2024,4,7.357142857142857,5,14
Sky Express,2024,5,7.5588235294117645,14,34
Sky Express,2024,6,10.555555555555555,7,18
Sky Express,2024,7,9.444444444444445,8,18
Sky Express,2024,8,8.294117647058824,8,17
Sky Express,2024,9,8.352941176470589,10,17
Sky Express,2024,10,5.0,5,18
Sky Express,2024,11,0.0,0,2
Sky Helicopteros,2024,4,5.0,1,1
Sky Helicopteros,2024,9,178.0,1,1
Smart Jet International,2024,7,12.5,1,2
Smartlynx Airlines,2024,12,19.0,2,2
Smartwings,2024,2,0.0,0,1
Smartwings,2024,3,38.0,1,1
Spain - Air Force,2024,6,0.0,0,3
Sparfell Luftfahrt,2024,9,5.0,1,2
Sparfell Luftfahrt,2024,10,11.5,2,2
Sundair,2024,9,62.0,1,2
Swiss,2024,2,1.5,2,10
Swiss,2024,3,1.625,3,8
Swiss,2024,4,4.25,2,4
Swiss,2024,5,1.25,1,4
Swiss,2024,6,5.75,4,8
Swiss,2024,7,0.0,0,4
Swiss,2024,10,5.5,1,2
Swiss Air-Ambulance,2024,7,4.5,1,2
Swiss Air-Ambulance,2024,10,0.0,0,2
Tag Aviation Malta,2024,11,1.0,1,2
Tap Air Portugal,2024,2,7.147058823529412,15,34
Tap Air Portugal,2024,3,5.882352941176471,11,34
Tap Air Portugal,2024,4,3.0344827586206895,18,58
Tap Air Portugal,2024,5,8.325,24,80
Tap Air Portugal,2024,6,3.532258064516129,13,62
Tap Air Portugal,2024,7,2.590909090909091,10,44
Tap Air Portugal,2024,8,4.409090909090909,12,44
Tap Air Portugal,2024,9,6.866666666666666,17,60
Tap Air Portugal,2024,10,8.535714285714286,27,84
Tap Air Portugal,2024,11,4.894736842105263,10,38
Tap Air Portugal,2024,12,5.638888888888889,13,36
Tassili Airlines,2024,2,7.875,3,16
Tassili Airlines,2024,3,2.2,3,20
Tassili Airlines,2024,4,0.125,1,16
Tassili Airlines,2024,5,1.2777777777777777,1,18
Tassili Airlines,2024,6,3.388888888888889,2,18
Tassili Airlines,2024,7,6.0,2,16
Tassili Airlines,2024,8,11.904761904761905,11,21
Tassili Airlines,2024,9,11.85,7,20
Tassili Airlines,2024,10,3.9375,4,16
Tassili Airlines,2024,11,9.222222222222221,5,18
Tassili Airlines,2024,12,2.6666666666666665,4,18
Trade Air,2024,2,24.0,4,4
Trade Air,2024,4,11.166666666666666,4,6
Trade Air,2024,5,9.0,6,10
Trade Air,2024,6,25.666666666666668,12,15
Trade Air,2024,7,40.142857142857146,3,7
Trade Air,2024,8,47.0,3,6
Trade Air,2024,9,54.3,5,10
Trade Air,2024,10,17.666666666666668,6,6
Transavia,2024,2,3.9802631578947367,113,456
Transavia,2024,3,3.4203187250996017,71,502
Transavia,2024,4,3.066427289048474,97,557
Transavia,2024,5,3.390909090909091,132,770
Transavia,2024,6,5.7720994475138125,162,724
Transavia,2024,7,5.8775,224,800
Transavia,2024,8,3.860606060606061,184,825
Transavia,2024,9,4.914923291492329,176,717
Transavia,2024,10,5.256446991404012,135,698
Transavia,2024,11,3.3263707571801566,60,383
Transavia,2024,12,3.051470588235294,61,408
Transavia France,2024,2,0.0,0,5
Transavia France,2024,3,0.0,0,3
Transavia France,2024,4,0.0,0,16
Transavia France,2024,5,0.0,0,4
Transavia France,2024,6,0.0,0,13
Transavia France,2024,7,0.0,0,12
Transavia France,2024,8,0.0,0,5
Transavia France,2024,9,0.0,0,8
Transavia France,2024,10,0.0,0,6
Transavia France,2024,11,0.0,0,21
Transavia France,2024,12,0.0,0,2
Tunisair,2024,6,1.7,2,10
Tunisair,2024,7,0.8333333333333334,1,12
Tunisair,2024,8,0.375,1,8
Tunisair,2024,9,2.2,3,10
Unicair,2024,10,0.0,0,2
Valair,2024,7,15.0,2,2
Vietnam Airlines,2024,2,4.435185185185185,32,108
Vietnam Airlines,2024,3,6.572649572649572,35,117
Vietnam Airlines,2024,4,6.49,40,100
Vietnam Airlines,2024,5,7.906976744186046,43,86
Vietnam Airlines,2024,6,13.261904761904763,52,84
Vietnam Airlines,2024,7,11.10752688172043,55,93
Vietnam Airlines,2024,8,8.559139784946236,55,93
Vietnam Airlines,2024,9,9.512195121951219,38,82
Vietnam Airlines,2024,10,8.060240963855422,31,83
Vietnam Airlines,2024,11,8.162162162162161,35,111
Vietnam Airlines,2024,12,8.698275862068966,42,116
Vistajet,2024,3,0.0,0,1
Vistajet,2024,4,1.0,1,3
Vistajet,2024,6,16.5,1,2
Vistajet,2024,7,18.0,1,2
Vistajet,2024,8,25.5,2,2
Vistajet,2024,10,13.0,2,2
Vistajet,2024,11,0.0,0,2
Vistajet,2024,12,0.0,0,2
Volotea,2024,2,6.135211267605634,119,355
Volotea,2024,3,5.381930184804928,159,487
Volotea,2024,4,6.940803382663848,342,946
Volotea,2024,5,6.811565951916829,546,1539
Volotea,2024,6,8.778571428571428,510,1400
Volotea,2024,7,9.678805535324107,570,1373
Volotea,2024,8,7.383491599707816,547,1369
Volotea,2024,9,8.145103645461043,517,1399
Volotea,2024,10,8.770833333333334,525,1536
Volotea,2024,11,6.04177545691906,207,766
Volotea,2024,12,6.591836734693878,305,882
Vueling,2024,2,4.285714285714286,45,210
Vueling,2024,3,3.0858369098712446,51,233
Vueling,2024,4,2.119047619047619,51,294
Vueling,2024,5,2.347682119205298,60,302
Vueling,2024,6,4.161290322580645,66,279
Vueling,2024,7,2.6588628762541804,52,299
Vueling,2024,8,3.392739273927393,58,303
Vueling,2024,9,4.784386617100372,58,269
Vueling,2024,10,4.982456140350878,72,285
Vueling,2024,11,1.7123893805309736,35,226
Vueling,2024,12,3.072649572649573,65,234
Westjet,2024,2,5.98,39,100
Westjet,2024,3,5.311320754716981,37,106
Westjet,2024,4,7.423076923076923,32,104
Westjet,2024,5,9.339506172839506,63,162
Westjet,2024,6,12.306930693069306,91,202
Westjet,2024,7,13.087179487179487,80,195
Westjet,2024,8,10.375634517766498,95,197
Westjet,2024,9,7.328502415458937,82,207
Westjet,2024,10,6.225274725274725,62,182
Westjet,2024,11,3.8025477707006368,34,157
Westjet,2024,12,7.274193548387097,61,186
Wideroe,2024,6,0.0,0,3
Wind Rose Aviation Company,2024,6,19.166666666666668,5,6
Wind Rose Aviation Company,2024,7,49.3,5,10
Wind Rose Aviation Company,2024,8,0.0,0,4
Wind Rose Aviation Company,2024,10,31.25,3,4
Zeusch Aviation,2024,4,17.0,1,2
Zeusch Aviation,2024,7,0.0,0,2
Zeusch Aviation,2024,12,3.8333333333333335,1,6
Zimex Aviation,2024,3,9.0,1,2
Zimex Aviation,2024,8,2.0,3,7
Zimex Aviation,2024,9,0.0,0,1
